Tipo contrato;NIF;Descripción;Facturación anual
OBRAS;A48047377;CONSTRUCCIONES FHIMASA, S.A.;14.698.226,01
OBRAS;A48081780;TECUNI, S.A.;10.007.727,66
OBRAS;U95602447;"EXBASA OBRAS Y SERVICIOS; GIROA S.A. Y TECUNI UTE AYTO BILBAO FASE III";8.540.789,16
OBRAS;U95572871;CONSTRUCCIONES AMENABAR SA-EXBASA-UTE MERCADO RIBERA;6.172.607,54
OBRAS;A48290258;CONSTRUCCIONES Y PROMOCIONES BALZOLA SA;3.811.748,41
OBRAS;A48119036;PROYECTOS Y OBRAS PABISA SA;3.072.452,17
OBRAS;A48073274;VICONSA SA;2.986.641,02
OBRAS;U95534459;CONSTRUCCIONES AMENABAR SA-EXBASA OBRAS Y SERVICIOS SL UTE;2.894.442,86
OBRAS;B48151344;JOSE ANTONIO OLABARRI CONSTRUCCIONES SL;2.803.198,40
OBRAS;B48109821;CONSTRUCCIONES OLABARRI, S.L.;2.397.140,97
OBRAS;A48679096;ANSAREO SANEAMIENTOS SERVICIOS SA;2.375.455,52
OBRAS;U95574869;FOMENTO DE CONSTRUCCIONES Y CONTRATAS S.A.-ANSAREO SANEAMI;2.157.928,71
SERVICIOS;U95398228;FCC SA-GMSM SA UTE;38.272.501,62
SERVICIOS;A28037224;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S .A.;12.098.072,79
SERVICIOS;A48047377;CONSTRUCCIONES FHIMASA, S.A.;8.430.099,71
SERVICIOS;U64401052;UTE SEGEMA SL CESPA SA;5.774.659,47
SERVICIOS;A48081780;TECUNI, S.A.;4.450.158,56
SERVICIOS;U95574869;FOMENTO DE CONSTRUCCIONES Y CONTRATAS S.A.-ANSAREO SANEAMI;3.791.336,95
SERVICIOS;U95592903;URGATZI SL-AZTERTZEN SERVICIOS ASISTENCIALES SL UTE;3.589.455,91
SERVICIOS;U95593224;ASOC DE ASISTENCIA INTEGRAL LAGUNDUZ-FUNDACION SALUD Y COMUNIDAD ;3.074.553,11
SERVICIOS;F95187183;AURRERANTZ S COOP;3.058.536,10
SERVICIOS;G48715874;ASOCIACION URGATZI PARA LA PROMOCION DEL BIENESTAR;2.767.032,98
SERVICIOS;A83052407;SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS SA;2.668.668,19
SERVICIOS;A95321386;IGUALATORIO MEDICO QUIRURGICO SA DE SEGUROS;1.923.733,91
SUMINISTROS;A95075586;IBERDROLA GENERACION SA;6.325.468,25
SUMINISTROS;U95398228;FCC SA-GMSM SA UTE;1.428.659,53
SUMINISTROS;A60028776;FINANZIA AUTORENTING, S.A.;829.975,11
SUMINISTROS;A80298839;REPSOL COMERCIAL PRODUCTOS PETROLIFEROS SA;357.624,90
SUMINISTROS;A41916461;ALBATROS PROMOTORA EMPRESARIAL, SA;325.652,86
SUMINISTROS;A95429825;PROIEK HABITAT EQUIPMENT S A;299.999,20
SUMINISTROS;B95124319;ONN OUTSIDE MOBILIARIO URBANO SL;195.000,00
SUMINISTROS;B48693857;ONDUNO COMERCIAL S L;191.638,11
SUMINISTROS;B83206045;TECHNIK CONSULTING ALVADE S.L.;189.861,06
SUMINISTROS;A20451613;ALFA ARTE SA;188.382,52
SUMINISTROS;B48798995;GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORANEOS SL;176.418,57
SUMINISTROS;A20075156;EUSKAL KULTURGINTZA, S.A.;155.472,49
OTROS;G48412720;BILBAO BIZKAIA KUTXA;815.402,38
OTROS;B95221065;MATRAZ 890 SL;117.205,00
OTROS;B48847792;INMOBILIARIA BASALDI, S.L.;96.900,00
