Tipo contrato;NIF;Descripción;Facturación anual
OBRAS;A48047377;CONSTRUCCIONES FHIMASA, S.A.;22.564.199,30
OBRAS;U95550646;FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA-GMSM MEDIOAMBIENTE;15.025.065,46
OBRAS;A48081780;TECUNI, S.A.;9.532.026,20
OBRAS;U95534459;CONSTRUCCIONES AMENABAR SA-EXBASA OBRAS Y SERVICIOS SL UTE;7.992.951,08
OBRAS;A48154348;EXCAVACIONES VIUDA DE SAINZ, S.A.;6.964.447,88
OBRAS;B48151344;JOSE ANTONIO OLABARRI CONSTRUCCIONES SL;5.858.674,72
OBRAS;A48119036;PROYECTOS Y OBRAS PABISA SA;5.437.345,12
OBRAS;A48716377;BYCAM SERVICIOS EDIFICIOS E INFRAESTRUCTURAS, S.A.;5.263.892,49
OBRAS;A40008195;CYCASA CANTERAS Y CONSTRUCCIONES SA;5.149.315,08
OBRAS;A48073274;VICONSA SA;4.532.582,52
OBRAS;A48290258;CONSTRUCCIONES Y PROMOCIONES BALZOLA SA;3.654.111,75
OBRAS;U95533659;ANSAREO SANEAMIENTOS Y SERVICIOS SA-GRUPO ANSAREO-EULEN UTE;3.319.179,12
SERVICIOS;U95398228;FCC SA-GMSM SA UTE;39.510.830,75
SERVICIOS;A28037224;FOMENTO DE CONSTRUCCIONES Y CONTRATAS, S .A.;11.886.157,05
SERVICIOS;A48047377;CONSTRUCCIONES FHIMASA, S.A.;8.513.825,71
SERVICIOS;U64401052;UTE SEGEMA SL CESPA SA;5.778.588,92
SERVICIOS;A48081780;TECUNI, S.A.;4.371.898,48
SERVICIOS;F95187183;AURRERANTZ S COOP;3.883.624,43
SERVICIOS;U95511390;UTE BILBAO SAD;3.738.284,48
SERVICIOS;G48682678;ASOC DE ASISTENCIA INTEGRAL LAGUNDUZ;3.358.470,51
SERVICIOS;A83052407;SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS SA;3.313.306,74
SERVICIOS;B22183370;ARQUITEMPO SERVICIOS S.L.;3.176.813,35
SERVICIOS;A95321386;IGUALATORIO MEDICO QUIRURGICO SA DE SEGUROS;2.005.503,50
SERVICIOS;U95574869;FOMENTO DE CONSTRUCCIONES Y CONTRATAS S.A.-ANSAREO;1.995.440,50
SUMINISTROS;A48010615;IBERDROLA SA;7.136.644,87
SUMINISTROS;U95398228;FCC SA-GMSM SA UTE;2.300.000,00
SUMINISTROS;A60028776;FINANZIA AUTORENTING, S.A.;661.313,03
SUMINISTROS;B48798995;GLOBAL EQUIPAMIENTO Y MOBILIARIO CONTEMPORANEOS SL;603.390,12
SUMINISTROS;F48090005;SOCIEDAD COOPERATIVA INDUSTRIAL BURDINOLA;493.281,44
SUMINISTROS;A41050113;ITURRI, S.A.;358.394,44
SUMINISTROS;A48472211;ETRA NORTE, S.A.;341.793,28
SUMINISTROS;A28246122;PROINTEC S.A.;245.146,45
SUMINISTROS;A95158895;GERTEK SOCIEDAD DE GESTION Y SERVICIOS SA;234.567,78
SUMINISTROS;A95524823;VEOLIA TRANSPORTE BILBAO SA;203.255,85
SUMINISTROS;A80298839;REPSOL COMERCIAL PRODUCTOS PETROLIFEROS SA;194.493,42
SUMINISTROS;A20075156;EUSKAL KULTURGINTZA, S.A.;191.003,86
OTROS;G48412720;BILBAO BIZKAIA KUTXA;874.320,81
OTROS;A48017172;CONSTRUCCIONES BILPRO SA;305.929,71
OTROS;14224832E;SANCRISTOBAL ZORRILLA MARIA NIEVES ARACEL;200.000,00
OTROS;B95527768;LOMBAZA PROMOCIONES SL;130.405,18
