EXERCICI,CODI ORGÀNIC,CODI DE PROGRAMA,CODI ECONÒMIC,SUBVENCIÓ,DESCRIPCIÓ,ENTITAT,IMPORT,DATA CONCESSIÓ
01/01/2014 12:00:00 AM,H113,91220,48401,Subvenció nominativa any 2014,,Club Balonmano Granollers,€100000.00,01/04/2014
01/01/2012 12:00:00 AM,H113,91220,48402,Subvenció nominativa,Subvenció Esport Club Granollers any 2012,Esport Club Granollers,€9000.00,05/02/2012
01/01/2014 12:00:00 AM,H452,31330,48701,Subvenció nominativa,Prórroga conveni per al 2014 (subvenció directa),Fundació Oncovallès,€1000.00,03/11/2014
01/01/2014 12:00:00 AM,H452,31330,48704,Subvenció nominativa,Tallers de musicoteràpia 2014 (subvenció directa),Associació Catalana d'Afectats de Fibromiàlgia,€150.00,
01/01/2014 12:00:00 AM,H411,32410,48900,Subvenció nominativa,Addenda al conveni de col·laboració per a la realització de diversos projectes educatius cursos 2012-2013 i 2013-2014,Fundació Privada Cultural de Granollers AC,€45500.00,
01/01/2014 12:00:00 AM,H431,33430,48305,Subvenció nominativa,Subvenció nominativa any 2014 (Ballades de sardanes 2014),Agrupació Sardanista de Granollers,€14000.00,
01/01/2014 12:00:00 AM,H431,33430,48309,Subvenció nominativa,Subvenció nominativa - activitats culturals de cineclub,Associació Cultural de Granollers,€4500.00,06/10/2014
01/01/2014 12:00:00 AM,H250,23230,48602,Subvenció nominativa,"Subvenció nominativa ""Desenvolupament d'activitats d'atenció, informació, capacitació i millora de les persones nouvingudes a la ciutat"" (Partida Pla d'Acollida)",Associació Cultural Amics de l'Àfrica del Vallès Oriental,€5000.00,
01/01/2014 12:00:00 AM,H461,23110,48602,Subvenció nominativa,"Subvenció nominativa ""Desenvolupament d'activitats d'atenció, informació, capacitació i millora de les persones nouvingudes a la ciutat"" (Partida Serveis Socials)",Associació Cultural Amics de l'Àfrica del Vallès Oriental,€3900.00,
01/01/2014 12:00:00 AM,H410,32001,48602,Subvenció nominativa,"Subvenció nominativa ""Desenvolupament d'activitats d'atenció, informació, capacitació i millora de les persones nouvingudes a la ciutat"" (Partida Educació)",Associació Cultural Amics de l'Àfrica del Vallès Oriental,€2500.00,
01/01/2014 12:00:00 AM, H403,23210,48602,Subvenció nominativa,"Subvenció nominativa ""Desenvolupament d'activitats d'atenció, informació, capacitació i millora de les persones nouvingudes a la ciutat"" (Partida Pla Igualtat d'oportunitats)",Associació Cultural Amics de l'Àfrica del Vallès Oriental,€930.00,
01/01/2014 12:00:00 AM,H250,23230,48603,Subvenció nominativa,"Subvenció nominativa projecte Centre d'Acollida i Formació Pius XII (Partida ""Conveni Càritas Pla d'Acollida”)",Càritas Diocesana de Terrassa,€3000.00,
